"last_name","frequency"
"Ramsay","203"
"Tetzlaff","203"
"Tramer","203"
"Herbst","203"
"Ghandeharizadeh","203"
"Conta","203"
"Champarnaud","203"
"Kirkerud","203"
"Doering","203"
"Penttonen","203"
"Lorho","203"
"Lubachevsky","202"
"Biran","202"
"Soicher","202"
"Yurek","202"
"Schlegelmilch","202"
"Karnin","202"
"Kornyak","202"
"Gihr","202"
"Kilgour","202"
"Schapire","202"
"Thummel","202"
"Pews","202"
"Morrow","201"
"Schusler","201"
"Taneja","201"
"Bernardeschi","201"
"Bahl","201"
"Cooke","201"
"Kavanagh","201"
"Wynblatt","201"
"Stanfel","201"
"Albarhamtoshy","201"
"Pelc","201"
"Clouatre","201"
"Rouquie","201"
"Genther","201"
"Mukaidono","201"
"Krybus","201"
"Erdi","201"
"Brodie","201"
"Kalorkoti","201"
"McConalogue","201"
"Rusterholz","201"
"Perez","201"
"Gulik","200"
"Gimbel","200"
"Radivojevic","200"
"Nannarelli","200"
"Taubenfeld","200"
"Imataki","200"
"Bugrara","200"
"Pfau","200"
"Hiroyama","200"
"Lindenbaum","200"
"Itzigehl","200"
"McClurg","200"
"Fargier","200"
"Sgarro","200"
"Speek","200"
"Auyong","200"
"Lamma","200"
"Kaelbling","200"
"Iwayama","200"
"Beetstra","200"
"Hoppenstand","200"
"Dredge","200"
"Mitzlaff","200"
"Schreiter","200"
"Rosch","200"
"Domenig","200"
"Norsworthy","200"
"Pocchiola","200"
"Snedden","200"
"Shumilov","200"
"Otillio","200"
"Hammerschmidt","200"
"Maraist","200"
"Heystek","200"
"Curless","199"
"Tiemann","199"
"Sridhar","199"
"Munawer","199"
"Warwick","199"
"Hettesheimer","199"
"Rassart","199"
"Karner","199"
"Muchinsky","199"
"Slobodova","199"
"Speckmann","199"
"Michaels","199"
"Skafidas","199"
"Kawashima","199"
"Servieres","199"
"Neimat","199"
"Gammage","199"
"Maierhofer","199"
"Merks","199"
"Hitomi","199"
"Mawatari","199"
"Hofman","199"
"Fortenbacher","199"
"Brookner","199"
"Akaboshi","199"
"Zaumen","199"
"Lalonde","198"
"Ghazalie","198"
"Bednarek","198"
"Katiyar","198"
"Schiper","198"
"Zallocco","198"
"Hiyoshi","198"
"Vigier","198"
"Pashtan","198"
"Landherr","198"
"Bhattacharjee","198"
"Picco","198"
"Vernadat","198"
"Chinin","198"
"Parveen","198"
"Poupard","198"
"Piveteau","198"
"Matzen","198"
"Stanger","198"
"Khamsi","198"
"McFarlin","198"
"Antonakopoulos","197"
"Ranum","197"
"Braccini","197"
"Mikschl","197"
"Baby","197"
"Jonsson","197"
"Karcich","197"
"Ohori","197"
"Avouris","197"
"Miara","197"
"Guting","197"
"Nishimukai","197"
"Gornas","197"
"Spelt","197"
"Jiang","197"
"Kampfer","197"
"Rajaraman","197"
"Luca","197"
"Viele","197"
"Erdmenger","197"
"Merel","197"
"Granlund","197"
"Schmiedel","197"
"Oppitz","197"
"Ciolek","197"
"Weedman","197"
"Weisert","197"
"Deville","197"
"Boyle","197"
"Srimani","197"
"Pelz","197"
"Ranta","197"
"Szilard","197"
"Suomi","197"
"Grospietsch","196"
"Masand","196"
"Chepyzhov","196"
"Schach","196"
"Gustavson","196"
"Brender","196"
"Antonisse","196"
"Servi","196"
"Monarch","196"
"Schaap","196"
"Carrere","196"
"Meriste","196"
"Gajiwala","196"
"Quadeer","196"
"Syang","196"
"Rosenbaum","196"
"Sichman","196"
"Hofstetter","196"
"Merey","196"
"Swan","196"
"Michaeli","196"
"Borstler","196"
"Kakkar","196"
"Setia","196"
"Leaver","196"
"Hartvigsen","196"
"Sadowski","196"
"Simkin","196"
"Heuser","196"
"Llado","196"
"Papadias","196"
"Conia","196"
"Cools","195"
"Kuhnemann","195"
"Ermel","195"
"Daescu","195"
"Matheson","195"
"Rindone","195"
"Langford","195"
"Engberts","195"
"Keustermans","195"
"Muntz","195"
"Bouloucos","195"
"Birta","195"
"Marrakchi","195"
"Rosin","195"
"Vilarrasa","195"
"Gronowski","195"
"Alameldin","195"
"Luft","195"
"Kalloufi","195"
"Swift","195"
"Picel","195"
"Segond","195"
"Mellouli","195"
"Conde","195"
"Wrigley","195"
"Kumaresan","195"
"Munke","195"
"Rikino","195"
"Papsdorf","195"
"Serna","195"
"Camurati","195"
"Manders","195"
"Hardjono","195"
"Ouhyoung","195"
"Zumaque","195"
"Birge","194"
"Irland","194"
"Constantine","194"
"Fujisaki","194"
"Kuszyk","194"
"Remmele","194"
"Melski","194"
"Schaar","194"
"Schwaller","194"
"Tagansky","194"
"Shanbhogue","194"
"Vickson","194"
"Brobst","194"
"Schaad","194"
"Unno","194"
"Nanard","194"
"Frolund","194"
"Stentiford","194"
"Iivonen","194"
"Basagni","194"
"Peltason","194"
"Erez","194"
"Kusakabe","194"
"Docker","194"
"Salvesen","194"
"Juneja","194"
"Hofting","194"
"Hiraishi","194"
"Kobara","194"
"Haumacher","194"
"Hertweck","193"
"Thebaut","193"
"Wursthorn","193"
"Morrin","193"
"Colorni","193"
"Bernatsky","193"
"Linnainmaa","193"
"Radhakrishnan","193"
"Candan","193"
"Serre","193"
"Alblas","193"
"Camarinopoulos","193"
"Melichar","193"
"Cochrane","193"
"Sifakis","193"
"Rosis","193"
"Chvatal","193"
"Gist","193"
"Christ","193"
"Crelier","193"
"Junet","193"
"Butner","193"
"Stassinopoulos","193"
"Sundgren","193"
"Jakobus","193"
"Melton","193"
"Kleiser","193"
"Worfolk","193"
"Cherinka","192"
"Heyers","192"
"Randi","192"
"Parascandalo","192"
"Simmen","192"
"Eiter","192"
"Menhoudj","192"
"Dulin","192"
"Luby","192"
"Baer","192"
"Wroclawski","192"
"Kemmerer","192"
"Bahk","192"
"Speel","192"
"Zongker","192"
"Senzako","192"
"Ertl","192"
"Kisuki","192"
"Pehl","192"
"Heuter","192"
"Wossner","192"
"Fontan","192"
"Ducloy","192"
"Remmers","192"
"Thimonier","192"
"Maliniak","192"
"Tomescu","192"
"Barbanera","192"
"Hutton","192"
"Baaz","192"
"Woycyznski","192"
"Rosiles","192"
"Eickenmeyer","192"
"Apsitis","192"
"Rajala","192"
"Thiran","191"
"Hasham","191"
"Noriega","191"
"Gomatam","191"
"Bach","191"
"Kilgore","191"
"Furedi","191"
"Kushner","191"
"Weiland","191"
"Trystram","191"
"Roisin","191"
"Bodoff","191"
"Fairtlough","191"
"Krohm","191"
"Pusterhofer","191"
"Haddadi","191"
"Vecchio","191"
"Khalil","191"
"Vecchi","191"
"Bahr","191"
"Mapelli","191"
"Marquardt","191"
"Larfeldt","191"
"Bruckman","191"
"Salinas","191"
"Sidou","191"
"Brandsma","191"
"Byoun","191"
"Kambil","191"
"Selvestrel","191"
"Ghelli","191"
"Peak","191"
"Azumi","191"
"Parfitt","191"
"Khalid","191"
"Rothenberg","191"
"Kaminger","191"
"Plesums","191"
"Peron","191"
"Plessier","191"
"Miake","191"
"Anick","191"
"Hoogerwoord","191"
"Diderrich","190"
"Strandh","190"
"Jervis","190"
"Czap","190"
"Suri","190"
"Anger","190"
"Merkl","190"
"Haraldson","190"
"Lorin","190"
"Ashish","190"
"Steenbeek","190"
"Itzfeldt","190"
"Baezner","190"
"Anandan","190"
"Reeken","190"
"Vingron","190"
"Munch","190"
"Keohane","190"
"Leslie","190"
"Moffat","190"
"Peyn","190"
"Seghrouchni","190"
"Hanratty","190"
"Cardazo","190"
"Underwood","190"
"Conte","190"
"Riesenhuber","190"
"Swiss","190"
"Hellwagner","190"
"Emiris","190"
"Callaway","190"
"Liesche","190"
"Staylopatis","190"
"Suppi","190"
"Ranft","190"
"Lindqvist","190"
"Klassen","190"
"Jullig","190"
"Birsak","190"
"Birnbaum","190"
"Goodrum","190"
"Ramaiah","190"
"Salverda","190"
"Madeira","190"
"Kohling","190"
"Backhouse","189"
"Farrar","189"
"Marshall","189"
"Huttel","189"
"Budinsky","189"
"Bonifati","189"
"Shackel","189"
"Valette","189"
"Perfilyeva","189"
"Millington","189"
"Spinelli","189"
"Orsini","189"
"Highland","189"
"Plump","189"
"Gargeya","189"
"Kriebel","189"
"Litecky","189"
"Boreale","189"
"Scharstein","189"
"Uehara","189"
"Molenkamp","189"
"Hanabata","189"
"Przulj","189"
"Gils","189"
"Bellmore","189"
"Dulay","189"
"Jahnichen","189"
"Bala","189"
"Bultermann","189"
"Leuchs","189"
"Perly","189"
"Fiebach","189"
"Billawala","189"
"Pargas","189"
"Lanzelotte","189"
"Rahimi","189"
"Rousseau","189"
"Siochi","189"
"Petersohn","189"
"Picht","189"
"Ellozy","189"
"Francisci","189"
"Baar","189"
"Manderick","189"
"Smailagic","189"
"Laventhal","189"
"Horswill","189"
"Maquelin","189"
"Chleq","189"
"Lorys","189"
"Parhami","189"
"Zaccaria","189"
"Ferretti","189"
"Acton","189"
"Puppo","188"
"Perry","188"
"Demos","188"
"Begiun","188"
"Sudkamp","188"
"Waymire","188"
"Bazzichi","188"
"Impagliazzo","188"
"Yoshizawa","188"
"Denti","188"
"Decleir","188"
"Penz","188"
"Luan","188"
"Katzenelson","188"
"Majewski","188"
"Murtha","188"
"Joslin","188"
"Makrucki","188"
"Mitina","188"
"Delgrossi","188"
"Tyugu","188"
"Baek","188"
"Bolotov","188"
"Rissland","188"
"Garnick","188"
"Delgrande","188"
"Ressouche","188"
"Stroustrup","188"
"Zirintsis","188"
"Narwekar","188"
"Reutenauer","188"
"Besselaar","188"
"Kawashimo","188"
"Tchuente","188"
"Kamble","188"
"Heering","188"
"Oberman","188"
"Bressoud","188"
"Jansen","188"
"Chachaty","187"
"Rodham","187"
"Pavlopoulou","187"
"Vanwelkenhuysen","187"
"Shihab","187"
"Lipner","187"
"Billingsley","187"
"Beznosov","187"
"Middleton","187"
"Versino","187"
"Isard","187"
"Milicic","187"
"Velasco","187"
"Buescher","187"
"Siegrist","187"
"Strehl","187"
"Belinskaya","187"
"Crooks","187"
"Godskesen","187"
"Garigliano","187"
"Bojadziev","187"
"Kusalik","187"
"Muhling","187"
"Bierman","187"
"Hinsberger","187"
"Kaiser","187"
"Demian","187"
"Danley","187"
"Zeidenstein","187"
"Kornatzky","187"
"Benzmuller","187"
"Awdeh","187"
"Lenart","187"
"Bridgland","187"
"Eiron","187"
"Nyanchama","187"
"Yeung","187"
"Eugenio","187"
"Famili","187"
"Felcyn","187"
"Leivant","187"
"Preusig","187"
"Hiltgen","187"
"Xiaoshan","187"
"Bratten","187"
"Erbe","186"
"Liedekerke","186"
"Iacovou","186"
"Bain","186"
"Benantar","186"
"Meszaros","186"
"Peir","186"
"Pulkowski","186"
"Goldhammer","186"
"Kavvadias","186"
"Sethi","186"
"Vesel","186"
"Danecki","186"
"Hedayat","186"
"Mitchem","186"
"Rosen","186"
"Gyimothy","186"
"Koshino","186"
"Walstra","186"
"Facello","186"
"Takkinen","186"
"Giveon","186"
"Cannard","186"
"Lundstrom","186"
"Silva","186"
"Merli","186"
"Kranzdorf","186"
"McDermid","186"
"Krzyzanowski","186"
"Poulakidas","186"
"Ratnakar","186"
"Talmor","186"
"Gulak","186"
"Rijckaert","186"
"Berendt","186"
"Fraisse","185"
"Krichel","185"
"Muhlberg","185"
"Kropp","185"
"Brendel","185"
"Petereit","185"
"Paciorek","185"
"Walston","185"
"Openshaw","185"
"Barvinok","185"
"Lally","185"
"Kakkad","185"
"Schieder","185"
"Nastansky","185"
"Plavsic","185"
"Sooriamurthi","185"
"Orlowski","185"
"Kitai","185"
"Gurbaxani","185"
"Veevers","185"
"Danlos","185"
"Lorch","185"
"Chandrasekhar","185"
"Erde","185"
"Dusink","185"
"Gerteisen","185"
"Rosay","185"
"Riefers","185"
"Zucker","185"
"Willoner","185"
"Rahier","185"
"Valtorta","185"
"DasSarma","185"
"Brattka","185"
"Narahara","185"
"Marrevee","185"
"Crouzet","185"
"Braunschweig","185"
"Reghbati","185"
"Terekhov","185"
"Tsukuda","185"
"Schwartzburd","185"
"Gruenwald","185"
"Ranai","185"
"Pollacia","185"
"Decaestecker","185"
"Cappelli","185"
"Borovoy","185"
"Ghalwash","185"
"Hambrick","184"
"Holburn","184"
"Jeansoulin","184"
"Lorcy","184"
"Narlikar","184"
"Brodal","184"
"Ibel","184"
"Conti","184"
"Gien","184"
"Babu","184"
"Stamatiou","184"
"Asrin","184"
"Rosca","184"
"Heiserman","184"
"Codenie","184"
"Kaltofen","184"
"Ozeki","184"
"Karunanithi","184"
"Koblitz","184"
"Isaac","184"
"Denna","184"
"Dratva","184"
"Masaki","184"
"Rodier","184"
"Schade","184"
"Feldmann","184"
"Harllee","184"
"Schlumberger","184"
"Furudate","184"
"Weedon","184"
"Usery","184"
"Heemskerk","184"
"Welham","184"
"Kusakari","184"
"Compeau","184"
"Honglei","184"
"Montemayor","184"
"Esposito","184"
"Dichev","184"
"Chaudhury","184"
"Massonet","184"
"Panwar","184"
"Gill","184"
"Szmurlo","184"
"Schiettecatte","184"
"Litvinov","184"
"Crabtree","184"
"Kobuchi","184"
"Vasanthakumar","183"
"Hooghiemstra","183"
"Rothe","183"
"Stenning","183"
"Wegerle","183"
"Bottner","183"
"Passino","183"
"Bellone","183"
"Luff","183"
"Waterhouse","183"
"Rettelbach","183"
"Mansanne","183"
"Peot","183"
"Cmelik","183"
"Hofmeyr","183"
"Cheshire","183"
"Oxenboll","183"
"Menhardt","183"
"Pietrzykowski","183"
"Peac","183"
"Olano","183"
"Rodite","183"
"Dehkordi","183"
"Naudin","183"
"Molberg","183"
"Paludetto","183"
"Pollock","183"
"Cappelletti","183"
"Fadgyas","183"
"Koyama","183"
"Randt","183"
"Lovengreen","183"
"Raney","183"
"Lichtman","183"
"Munoz","183"
"Zolotykh","183"
"Sankaranarayanan","183"
"Krone","183"
"Birdsall","183"
"Escriba","183"
"Veeraraghavan","183"
"Perl","183"
"Straney","183"
"Terlouw","183"
"Koshiba","183"
"Reistad","183"
"Klerer","183"
"Haldar","183"
"Stasinski","183"
"Henders","183"
"Alpay","183"
"Stavenow","183"
"Debuse","183"
"Waeselynck","183"
"Businaro","183"
"Schaft","183"
"Spieker","182"
"Poehlman","182"
"Varman","182"
"England","182"
"Renear","182"
"Back","182"
"Uhrik","182"
"Baak","182"
"Grandbois","182"
"Ushiama","182"
"Busillo","182"
"Guenter","182"
"Msuda","182"
"Jumpertz","182"
"Pettit","182"
"Talmon","182"
"Krogh","182"
"Bale","182"
"Baez","182"
"Koblick","182"
"Kavraki","182"
"Anily","182"
"Ariola","182"
"Suermann","182"
"Claffy","182"
"Auria","182"
"Peng","182"
"Besancenot","182"
"Azadmanesh","182"
"Lammel","182"
"Verhaegen","182"
"Einsfeld","182"
"Ratzlaff","182"
"Matzat","182"
"Setlzner","182"
"Percebois","182"
"Naumovich","182"
"Birke","182"
"Lortz","182"
"Rohrbach","182"
"Raczkowsky","182"
"Uludag","182"
"Poujol","182"
"Eterovic","182"
"Zlotek","182"
"Vuskovic","182"
"Basawa","182"
"Gluchowski","182"
"Kroll","182"
"Speer","182"
"Luck","182"
"Buchter","182"
"Murillo","182"
"Trelles","182"
"Lichtner","181"
"Ranon","181"
"Savasere","181"
"Zyda","181"
"Cyne","181"
"Fujisawa","181"
"Bashian","181"
"Smeets","181"
"Ossenbruggen","181"
"Schwabacher","181"
"Huxford","181"
"Spataro","181"
"Harbusch","181"
"Gilg","181"
"Mahmud","181"
"Markovitch","181"
"Comellas","181"
"Munos","181"
"Fetvedt","181"
"Varley","181"
"Dayang","181"
"Iisaka","181"
"Peroz","181"
"Chaudhuri","181"
"Cronau","181"
"Giaccio","181"
"Uhrig","181"
"Mayerwieser","181"
"Vendrig","181"
"Takanami","181"
"Nooteboom","181"
"Demri","181"
"Kuzuoka","181"
"Luit","181"
"Chiodo","181"
"Reinhart","181"
"Broder","181"
"Angel","181"
"Szemeredi","181"
"Trachtenberg","181"
"Dengi","181"
"Swist","181"
"Gunderson","181"
"Dalphin","181"
"Kroft","181"
"Dahlbom","181"
"Waschkowski","181"
"Schmittgen","181"
"Ratnaker","181"
"Cronan","181"
"Atchley","181"
"Flasterstein","181"
"Schapiro","181"
"Chelton","181"
"Quittner","181"
"Staudhammer","181"
"Asmuth","181"
"Yemenis","181"
"Heusch","181"
"Covnot","180"
"Griswold","180"
"Bail","180"
"DuBourdieux","180"
"Winter","180"
"Vitiello","180"
"Bael","180"
"Sidhu","180"
"Bahi","180"
"Mondadori","180"
"Zizka","180"
"Makinen","180"
"Bennis","180"
"Binding","180"
"Fioravanti","180"
"Mattern","180"
"Rissanen","180"
"Ligten","180"
"Fasbender","180"
"Sullins","180"
"Beutelspacher","180"
"Stellhorn","180"
"McAffer","180"
"Zweizig","180"
"Prochazka","180"
"Ballarin","180"
"Cooman","180"
"Cronin","180"
"Baalen","180"
"Terkki","180"
"Erol","180"
"Erie","180"
"Kowalchuk","180"
"Cincotta","180"
"Christianini","180"
"Tsukune","180"
"Toyoshima","180"
"Chorvat","180"
"Munck","180"
"Birrer","180"
"Fabrizio","180"
"Sherertz","180"
"Vakili","180"
"Nitta","180"
"Kalafatis","180"
"Ruther","180"
"Ramamoorthy","179"
"Schneeberger","179"
"Werthner","179"
"Gecseg","179"
"Streng","179"
"Pagter","179"
"Birch","179"
"Yurov","179"
"Beilner","179"
"Rodiger","179"
"Motley","179"
"Dymetman","179"
"Chiola","179"
"Pepe","179"
"Trogemann","179"
"Puppe","179"
"Prenel","179"
"Ladret","179"
"Lieblein","179"
"Marchesini","179"
"Turnbull","179"
"Luon","179"
"Deverell","179"
"Wilfing","179"
"Katalagarianos","179"
"Azulay","179"
"Roccetti","179"
"Foong","179"
"McClure","179"
"Lupu","179"
"Hockney","179"
"Ulupinar","179"
"Hebden","179"
"Hatcliff","179"
"Klyachko","179"
"Falco","179"
"Shokrollahi","179"
"Ozeri","179"
"Negoita","179"
"Delgrange","179"
"Snyers","179"
"Luga","179"
"Bazelow","179"
"Farrag","179"
"Berztiss","179"
"Steinauer","179"
"Krychniak","179"
"Broomell","179"
"Kolinko","179"
"Magliocco","178"
"Chartres","178"
"Benveniste","178"
"Jarecki","178"
"Chenoweth","178"
"Strooper","178"
"Brlek","178"
"Binkley","178"
"Bakhtari","178"
"Rathonyi","178"
"Tasistro","178"
"Lagarias","178"
"Bernini","178"
"Capobianchi","178"
"Bamford","178"
"Radwan","178"
"Levasseur","178"
"Ernst","178"
"Attimonelli","178"
"Figueira","178"
"Falby","178"
"Ginneken","178"
"Ramsey","178"
"Sinitsyn","178"
"Verspoor","178"
"Seuren","178"
"Solovay","178"
"Murtafg","178"
"Felder","178"
"Eastman","178"
"Kossowski","178"
"Demir","178"
"Casley","178"
"Rebaine","178"
"Improta","178"
"Angot","178"
"Restivo","178"
"Peres","178"
"Botman","178"
"Samarati","178"
"Sewelson","178"
"Detkin","178"
"Kermarrec","178"
"Brickell","178"
"Zeilberger","177"
"Templeman","177"
"Vandervoorde","177"
"Nourani","177"
"Merlo","177"
"Mullainathan","177"
"Monkewich","177"
"Rando","177"
"Feldhoffer","177"
"Aseltine","177"
"Uchoa","177"
"Krupka","177"
"Kieras","177"
"Frezza","177"
"Nitsche","177"
"Caine","177"
"Peris","177"
"DuCasse","177"
"Angiulli","177"
"Zultner","177"
"Trumbly","177"
"Ruemmler","177"
"Knightly","177"
"Czaja","177"
"Thiria","177"
"Undy","177"
"Magalhaes","177"
"Thorensen","177"
"DiGiano","177"
"Chinen","177"
"Peral","177"
"Cunliffe","177"
"Jayawardene","177"
"Perri","177"
"Peck","177"
"Pouyioutas","177"
"Zhiwei","177"
"Zeleznik","177"
"Herath","177"
"Matzke","177"
"Bardell","177"
"Anido","177"
"Cairo","177"
"Cullers","176"
"Ullian","176"
"Olivero","176"
"Coombs","176"
"Pardalos","176"
"Passafiume","176"
"Sinicrope","176"
"Lukaszewicz","176"
"Demizu","176"
"Beerel","176"
"Egerstedt","176"
"Menyhert","176"
"Danner","176"
"Kugler","176"
"Selenyi","176"
"Hasenauer","176"
"Greibach","176"
"Picaronny","176"
"Zwicker","176"
"Miyakawa","176"
"Chappelet","176"
"Saoudi","176"
"Baca","176"
"Pleszkun","176"
"Schahn","176"
"Hainaut","176"
"Rossi","176"
"Loncour","176"
"Heping","176"
"Falck","176"
"Sommer","176"
"Reinhard","176"
"Lieberherr","176"
"Luke","176"
"Jording","176"
"Armand","176"
"Halloran","176"
"Gopalakrishnan","176"
"Baja","176"
"Picci","175"
"Murtagh","175"
"Beausoleil","175"
"Laurillard","175"
"Vidya","175"
"Milicia","175"
"Shinomoto","175"
"Sigstam","175"
"Lunn","175"
"Cyre","175"
"Denny","175"
"Schicker","175"
"Atrawala","175"
"Chinal","175"
"Coney","175"
"Flexer","175"
"Matteis","175"
"Vidal","175"
"Roohalamini","175"
"Porenta","175"
"Demke","175"
"Bergere","175"
"Schurmann","175"
"Kalsbeek","175"
"Lienhardt","175"
"Vural","175"
"Edelhoff","175"
"Papastamatiou","175"
"Cooley","175"
"Skrikant","175"
"Valiente","175"
"Engelmann","175"
"Krohn","175"
"Fendler","175"
"Barreiro","175"
"Alvarado","175"
"Tanemo","175"
"Iisaku","175"
"Tsunoo","175"
"Molenaar","175"
"Vesna","175"
"Sommen","175"
"Cappello","175"
"Lores","175"
"Wissmann","175"
"Kropatsch","175"
"Honiden","175"
"Cannata","174"
"Gecsel","174"
"Tzvieli","174"
"Bage","174"
"Varker","174"
"Boissier","174"
"Peha","174"
"Bernick","174"
"Potthoff","174"
"Choobineh","174"
"Assaf","174"
"Angelov","174"
"Douceur","174"
"Veldwijk","174"
"Schauser","174"
"Georg","174"
"Etalle","174"
"Azuma","174"
"Schlenzig","174"
"Pettey","174"
"Sambasivam","174"
"Fiutem","174"
"Rubsam","174"
"Pintelas","174"
"Fordan","174"
"Schonegge","174"
"Dolinsky","174"
"Showalter","174"
"Oskamp","174"
"Syrzycki","174"
"Hennings","174"
"Oxman","174"
"Eldridge","174"
"Itschner","174"
"Schoegge","174"
"Cannane","174"
"Ranze","173"
"Ambroszkiewicz","173"
"Peternell","173"
"Biron","173"
"Biros","173"
"Nitsch","173"
"Flanders","173"
"Range","173"
"Berstel","173"
"Pietracaprina","173"
"Denos","173"
"Gini","173"
"Deyuan","173"
"Leonhardt","173"
"Clemencon","173"
"Lanteri","173"
"Melter","173"
"Huhdanpaa","173"
"Validov","173"
"Stafford","173"
"Orlowska","173"
"Masamoto","173"
"Rusmann","173"
"Gadepally","173"
"Pena","173"
"Bratsberg","173"
"Comte","173"
"Kruskal","173"
"Zockler","173"
"Perna","173"
"Tischendorf","173"
"Quaggetto","173"
"Marchegay","173"
"Gimarc","173"
"Beidas","173"
"Nyrup","172"
"McAlpine","172"
"Kalefeld","172"
"Whittlesey","172"
"Tokunaga","172"
"Heydon","172"
"Beeson","172"
"Portugali","172"
"Fandrianto","172"
"Thibadeau","172"
"Vieri","172"
"Halevi","172"
"Henseler","172"
"Aingworth","172"
"Perz","172"
"Zaiane","172"
"Zielinski","172"
"Pell","172"
"Ranka","172"
"Rotem","172"
"Morton","172"
"Glowinski","172"
"Bade","172"
"Basart","172"
"Syrotiuk","172"
"Thombley","172"
"Vrecion","172"
"Mersereau","172"
"Janetzko","172"
"Muniz","172"
"Gide","172"
"Heinisuo","172"
"Gubsky","171"
"Pauthner","171"
"Plotkin","171"
"Hutter","171"
"Kropf","171"
"Rande","171"
"Navazio","171"
"Castellani","171"
"Litzler","171"
"Isaak","171"
"Serot","171"
"Roison","171"
"Androutsos","171"
"Mungall","171"
"Rullman","171"
"Lodder","171"
"Comyn","171"
"Kenevan","171"
"Rabejac","171"
"Kaiserswerth","171"
"Hashii","171"
"Frijda","171"
"Nergos","171"
"Harnett","170"
"Penn","170"
"Sessa","170"
"Falster","170"
"Setiz","170"
"Himler","170"
"Lund","170"
"Yetim","170"
"Badache","170"
"Verhoeff","170"
"Sanella","170"
"Kinley","170"
"Piazza","170"
"Staelin","170"
"Fontet","170"
"Akiyama","170"
"Hemaspaandra","170"
"Sluis","170"
"Shobatake","170"
"Spell","170"
"Mateescu","170"
"Limongiello","170"
"Keirsey","170"
"Alencar","170"
"Schrooten","170"
"Polajnar","170"
"Marletta","170"
"Farrel","170"
"Maginnis","169"
"Minakawa","169"
"Kolvik","169"
"Wixon","169"
"Yoshimura","169"
"Casperson","169"
"Ferriere","169"
"Yetto","169"
"Journel","169"
"Ebeling","169"
"Thisen","169"
"Maccarone","169"
"Shackell","169"
"Lueh","169"
"Badr","169"
"Piancastelli","169"
"Glinert","169"
"Condotta","169"
"Janocha","169"
"Morris","169"
"Unni","169"
"Conry","169"
"Yavatkar","169"
"Junot","169"
"Rijsenbrij","169"
"Streit","168"
"Theuretzbacher","168"
"Emmerich","168"
"Gniady","168"
"Yamaashi","168"
"Montresor","168"
"Pargaonkar","168"
"Sevcikova","168"
"Grabner","168"
"Butterworth","168"
"Perko","168"
"Gyorkos","168"
"Jeong","168"
"Puoti","168"
"Qiwen","168"
"Lampe","168"
"Wallrath","168"
"Bauknecht","168"
"Kushnir","168"
"Arlazarov","168"
"Gladwell","168"
"Lakshmanan","168"
"Wuwongse","167"
"Simmel","167"
"Collavizza","167"
"Thambidurai","167"
"Nicolson","167"
"Lung","167"
"Gire","167"
"Schueller","167"
"Brizzi","167"
"Pesch","167"
"Ramsak","167"
"Oaver","167"
"Gips","167"
"Socorro","167"
"Nations","167"
"Serdy","167"
"Benaini","167"
"Fritzsche","167"
"Cromarty","167"
"Murthy","167"
"Wiegley","167"
"Burnard","167"
"Murrill","166"
"Cusworth","166"
"Luiz","166"
"Coullard","166"
"Erman","166"
"dAstous","166"
"Marwedel","166"
"Pezzoli","166"
"Stranks","166"
"McFarlan","166"
"Farrow","166"
